書類管理番号,提出者名,提出日,リスク番号,リスク内容,文字数,api_output,要約,大分類,リスク名,33業種区分
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,14,"② ②　知的財産権に関するリスク


当社グループは、事業競争力確保の観点から、知的財産を重要な経営資源と捉え、その保護に積極的に取り組むとともに、第三者の知的財産権を尊重し侵害することがないよう努めております。しかしながら、他人の知的財産権その他の権利を侵害する結果となった場合には、損害賠償請求や当社グループの信用失墜等により、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、著作権に係る社内規則を整備しているほか、毎年、各種教育研修を実施しています。また、納入前の成果品チェック等を実施しています。",262,"要約: 知的財産権の侵害によって損害賠償請求や信用失墜が発生するリスクがあり、業績に影響を与える可能性がある。

大分類: 4. 法務・コンプライアンスリスク  
リスク名: 知的財産リスク",知的財産権の侵害によって損害賠償請求や信用失墜が発生するリスクがあり、業績に影響を与える可能性がある。,4. 法務・コンプライアンスリスク,知的財産リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,15,"③ ③　生成AIの利活用に関するリスク


生成AIは、AI によりWEB 検索結果の要約や文書作成等ができる自然言語処理ツールであり、その特性を見極めつつ、適切に活用することで当社の価値を高めることが期待されます。しかしながら、現段階では間違った結果となることも多く、また秘密情報の入力による情報漏洩、出力結果の著作権侵害等、利用方法を誤ると当社の調査結果の信頼性を毀損する可能性があります。一方で、生成AIが普及することにより、当社グループが受託して行っている調査業務や分析業務をお客様ご自身で行えるようになると、当社の事業機会や競争力が喪失する可能性もあります。


当該リスクに対応するため、「生成AIガイドライン」を定め、これに基づく生成AIの効果的な利用を推進しております。また、最新の生成AIの普及状況や技術の進展を注視し、生成AIを最大限に活用するプロジェクトをお客様にご提案・ご提供することで、競争優位を維持するよう努めております。",425,"要約: 生成AIの利用には情報漏洩や著作権侵害のリスクが伴い、誤った利用が企業の信頼性を損なう可能性がある。また、生成AIの普及により競争力の低下も考えられる。

大分類: 6. 技術・情報リスク  
リスク名: 情報セキュリティリスク",生成AIの利用には情報漏洩や著作権侵害のリスクが伴い、誤った利用が企業の信頼性を損なう可能性がある。また、生成AIの普及により競争力の低下も考えられる。,6. 技術・情報リスク,情報セキュリティリスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,16,"④ ④　外注に関するリスク


当社グループは、外部専門家の知識・ノウハウの活用あるいは生産性向上のため、業務の一部を外部委託しております。


ITサービスセグメントのシステム開発でプログラム作成業務を委託しているほか、シンクタンク・コンサルティングサービスセグメントでは、各種調査・データ入力業務等を委託しております。


しかしながら、委託先において予想外の事態が発生した場合には、品質保持のためのコスト増、納期遅れに伴うお客様への損害賠償等が発生し、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、当社グループは、委託先に対して品質水準及び管理体制に関して定期的な審査を実施し、必要に応じて改善指導を行う等、優良な委託先の安定的確保に努めております。",339,"要約: 外部委託によって予期しない事態が生じる可能性があり、これにより品質コストの増加や納期遅れが発生し、業績に悪影響を及ぼすリスク。

大分類: 3. オペレーショナルリスク  
リスク名: 外部委託リスク",外部委託によって予期しない事態が生じる可能性があり、これにより品質コストの増加や納期遅れが発生し、業績に悪影響を及ぼすリスク。,3. オペレーショナルリスク,外部委託リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,18,"a. a. 情報サービス産業における事業環境


当社グループが属する情報サービス産業は、事業競争力の強化へ向けたIT投資等の拡大が期待される領域への異業種参入や、ITリソースの調達の低コスト化が一段と進んでおり、業界内の価格競争や熾烈な技術開発競争が一層加速しております。このため、価格競争の激化、品質の低下や技術革新への対応の遅れ等が発生した場合には、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、当社グループは、コンサルティングからシステム開発・運用、BPOまで一貫したサービスを提供できる体制を整え、企画提案力並びに品質・生産性のさらなる向上にも取り組んでおります。",298,"要約: 情報サービス産業の競争が激化し、価格競争や技術革新への適応が求められる中で、業績に悪影響を及ぼすリスクが存在する。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",情報サービス産業の競争が激化し、価格競争や技術革新への適応が求められる中で、業績に悪影響を及ぼすリスクが存在する。,1. 戦略リスク,市場環境リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,19,"b. b. 情報処理サービス


当社グループが提供する情報処理サービスは、データセンターに係る運用機器及びシステム等への更新投資及び新規投資が必要であり、投資額は情報処理サービス契約により複数年にわたって回収することになります。このため、予想以上の経済環境の変化、お客様の経営状況の変化等が生じた場合には投資額の回収ができず、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、投資実施に当たってはお客様ニーズ、事業予測、投資の収益性等を総合的に検討したうえで決定しております。",248,"要約: 情報処理サービスの運用機器やシステムへの投資が必要で、経済環境や顧客の状況の変化により、その投資回収ができないリスクがある。

大分類: 2. 財務リスク  
リスク名: 投資関連リスク",情報処理サービスの運用機器やシステムへの投資が必要で、経済環境や顧客の状況の変化により、その投資回収ができないリスクがある。,2. 財務リスク,投資関連リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,20,"⑥ ⑥　金融業界との取引に関するリスク


当社グループの当連結会計年度の金融業向け売上高は、連結売上高の45.3％を占めております。


金融業向け業務は、法規制・制度対応に関連した情報化投資、情報セキュリティ投資が活発化していることに加え、内部データの解析による商品開発やリスクマネジメント等に関連するコンサルティング業務を継続的に受注しており、今後とも金融業界との取引は順調に推移するものと見込んでおります。しかしながら、事業環境の急変、お客様の経営状況の変化や情報システム投資方針の変更が生じた場合には、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、グループの強みを活かした領域への事業展開を強化し、提供価値の向上とともに、成長性・収益性を高めるべく、中期経営計画に沿った事業の持続的な成長を目指してまいります。",371,"要約: 金融業界における取引が業績に影響を及ぼすリスクがあり、事業環境の変化や顧客の情報システム投資方針の変更が懸念される。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",金融業界における取引が業績に影響を及ぼすリスクがあり、事業環境の変化や顧客の情報システム投資方針の変更が懸念される。,1. 戦略リスク,市場環境リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,21,"⑦ ⑦　大規模な災害等に関するリスク


新型コロナウイルスをはじめとする大規模な感染症や地震等の大規模な災害によって、従業員の出社が制限されるなど、企業活動に影響を及ぼす可能性があります。


また、情報処理サービスは、システムの安定稼動が重要な要素であり、天災、事故、人的ミス等何らかの要因によるシステムの不具合・故障等が発生した場合には、業績に影響を及ぼす可能性があります。


当該リスクに対応するため、前掲のリスクマネジメント体制及び手順によりリスクへの対応を迅速に行うことにより、影響の最小化のため適切な対応を検討し実施します。",270,"要約: 大規模な感染症や自然災害によって企業活動やシステムに影響が及ぶ可能性があり、そのリスクに対処するための体制が整備されていること。

大分類: 5. ハザードリスク  
リスク名: 感染症・疫病リスク",大規模な感染症や自然災害によって企業活動やシステムに影響が及ぶ可能性があり、そのリスクに対処するための体制が整備されていること。,5. ハザードリスク,感染症・疫病リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,23,"a. a. 退職給付債務に関するリスク


当社グループの退職給付費用及び退職給付債務は、割引率や年金資産の期待運用収益率等の数理計算上設定した前提条件に基づいて算出されており、年金資産の時価の下落、金利環境の変動等により、退職給付費用が増加した場合には、業績に影響を及ぼす可能性があります。",146,"要約: 退職給付債務の計算における前提条件が変動することで、退職給付費用が増加し業績に悪影響を及ぼす可能性があるリスク。

大分類: 2. 財務リスク  
リスク名: 退職給付債務リスク",退職給付債務の計算における前提条件が変動することで、退職給付費用が増加し業績に悪影響を及ぼす可能性があるリスク。,2. 財務リスク,退職給付債務リスク,情報・通信業
S100UXFQ,株式会社三菱総合研究所,2024-12-11 10:22,24,"b. b. 業績の季節変動


当社グループでは、主要な取引先である官公庁の会計年度の関係により、例年第３四半期に受注し翌第２四半期に納期を迎えるプロジェクトが多いことから、第１、第２四半期の業績が他の四半期と比較して良く、特に第２四半期は完了を前に業務遂行のピークを迎えることもあり、会計年度を通して最も営業利益が大きくなる傾向があります。また、売上高の小さい第３、第４四半期においては、人件費や販売費及び一般管理費等の経費は毎四半期ほぼ均等に発生するため、営業赤字となることがあります。


なお、最近２年間の当社グループの四半期毎の業績の概要は以下のとおりであります。


 
































 








2023年９月期










第１四半期






第２四半期






第３四半期






第４四半期






年度計














売上高






(百万円)






27,459






45,865






23,553






25,247






122,126










営業利益又は営業損失（△）






(百万円)






2,358






6,933






△905






302






8,688












 
































 








2024年９月期










第１四半期






第２四半期






第３四半期






第４四半期






年度計














売上高






(百万円)






27,668






38,865






23,720






25,108






115,362










営業利益又は営業損失（△）






(百万円)






2,037






6,564






△1,542






1






7,060",909,"要約: 当社の業績は官公庁の会計年度の影響を受けており、特に第1、第2四半期は受注が多く営業利益が大きくなるが、第3、第4四半期は営業赤字となる可能性があるリスクがある。

大分類: 3. オペレーショナルリスク  
リスク名: プロジェクト管理リスク",当社の業績は官公庁の会計年度の影響を受けており、特に第1、第2四半期は受注が多く営業利益が大きくなるが、第3、第4四半期は営業赤字となる可能性があるリスクがある。,3. オペレーショナルリスク,プロジェクト管理リスク,情報・通信業
S100UY1X,ＧＭＯペイメントゲートウェイ株式会社,2024-12-16 16:29,2,"① ①業界動向について


当社グループは、消費者向け電子商取引（BtoC EC）をはじめとした非対面販売を行う事業者及び対面販売を行う事業者とクレジットカード会社等の各決済事業者との間の決済情報を繋ぎ、加盟店に対して、クレジットカード等の決済業務が効率よく実現できるサービスを提供しており、一般的に「決済代行」と呼ばれる業界に位置しております。
当業界は、「インターネットという通信インフラの普及」「非対面取引の加盟店の増加」「消費者の非対面取引の利用拡大による非対面商取引市場の拡大」「決済のキャッシュレス化」等の各要素が相乗的に効果を生み、今日まで成長を続けてまいりました。当業界各社は、市場拡大のため更なる情報セキュリティ向上、取引の安全性向上、並びに導入時の簡便性向上に注力しておりますが、これらの要素の変化が当社のビジネスに影響を及ぼす可能性があります。 
（対応策）
当社グループは、引き続き消費者向け電子商取引（BtoC EC）の健全な拡大に資するべく、上記のような要素の変化をいち早く捉え、更なる情報セキュリティ向上、取引の安全性向上、並びに導入時の簡便性向上を図ってまいります。",499,"要約: 決済代行業界において、情報セキュリティ、取引の安全性、導入の簡便性の向上に注力しているが、これらの要素の変化がビジネスに影響を与えるリスクがある。

大分類: 6. 技術・情報リスク  
リスク名: 情報セキュリティリスク",決済代行業界において、情報セキュリティ、取引の安全性、導入の簡便性の向上に注力しているが、これらの要素の変化がビジネスに影響を与えるリスクがある。,6. 技術・情報リスク,情報セキュリティリスク,情報・通信業
S100UY1X,ＧＭＯペイメントゲートウェイ株式会社,2024-12-16 16:29,3,"② ②電子商取引（
EC）
の普及について


日本におけるEC市場は拡大を続けております。しかしながら、契約当事者の顔が見えず相手方の特定や責任追及が困難なこと等から悪質商法が行われやすい環境であり、ECをめぐる新たな法的規制や個人消費の減退等によりEC自体が消費者に受け入れられない場合、EC普及の低迷やEC市場の停滞が懸念されます。このとき、EC市場規模と密接な関係にある非対面決済代行事業の当社グループの業績に影響を及ぼす可能性があります。 
（対応策）
当社グループは、引き続き消費者向け電子商取引（BtoC EC）の健全な拡大に資するべく、情報セキュリティ対策を強化し、新たな法的規制等にも率先した対応を行ってまいります。",317,"要約: EC市場の拡大に伴い、悪質商法のリスクや新たな法的規制が影響し、ECの普及が低迷する可能性があり、当社の業績に悪影響を及ぼすリスク。

大分類: 1. 戦略リスク  
リスク名: EC市場リスク",EC市場の拡大に伴い、悪質商法のリスクや新たな法的規制が影響し、ECの普及が低迷する可能性があり、当社の業績に悪影響を及ぼすリスク。,1. 戦略リスク,EC市場リスク,情報・通信業
S100UY1X,ＧＭＯペイメントゲートウェイ株式会社,2024-12-16 16:29,4,"③ ③競合について


当社グループは、顧客である加盟店のニーズに合致した製品やサービスの開発・提供、決済代行サービスに加え顧客の売上向上に繋がる付加価値サービスの提供、サービス導入から運用までの一貫した加盟店サポート体制、最新技術を見据えた安定的な基幹システムの構築・運用、並びに東京証券取引所プライム市場の企業であることによる信頼性等により、継続的に競争力を高め、顧客満足度を向上し競合他社との差別化を実現しております。さらに顧客の問題を解決するサービスや顧客ニーズをきめ細かく反映した製品やサービスを継続して提供することで先行者メリットを継続して享受、非対面クレジットカード等の決済代行サービス事業最大規模の顧客基盤を背景に市場における価格支配力を確保、システムのOEM提供等を通じたクレジットカード会社等との営業協力関係の一層の緊密化、並びに関連サービスベンダー（各種決済に係わるサービス提供事業者）とのパートナーシップ構築や当社代理店の拡大を通じ事業規模の保持と拡大を推し進めております。 
しかしながら、今後競合他社が当社グループのサービスを模倣・追随し、これまでの当社グループの特徴が標準的なものとなり差別化が難しくなること、これまでにない全く新しい技術を活用した画期的なサービスを展開する競合他社が出現すること、並びに競合他社が低価格を前面に打ち出した営業を展開する等の結果として、当社グループの業績に影響を及ぼす可能性があります。
（対応策）
当社グループは、引き続き顧客である加盟店のニーズに合致した製品やサービスの開発・提供、決済代行サービスに加え顧客の売上向上に繋がる付加価値サービスの提供、サービス導入から運用までの一貫した加盟店サポート体制、最新技術を見据えた安定的な基幹システムの構築・運用等を強化し、継続的な競争力と顧客満足度の更なる向上により競合他社との差別化を図ってまいります。",807,"要約: 競合他社が当社のサービスを模倣したり、画期的な新技術を導入することで、当社の差別化が難しくなり、業績に悪影響を及ぼすリスクがある。

大分類: 1. 戦略リスク  
リスク名: 市場環境リスク",競合他社が当社のサービスを模倣したり、画期的な新技術を導入することで、当社の差別化が難しくなり、業績に悪影響を及ぼすリスクがある。,1. 戦略リスク,市場環境リスク,情報・通信業
S100UY1X,ＧＭＯペイメントゲートウェイ株式会社,2024-12-16 16:29,5,"④ ④技術動向（革新）への対応について
インターネット・情報セキュリティの技術革新が著しく進み、消費者向け電子商取引（BtoC EC）においても決済手段の多様化やスマートフォン利用の拡大等常に進化しております。今後当社グループが新たな技術やサービスへの対応が遅れた場合、当社グループの加盟店に対するサービスが陳腐化し、その結果競合他社に対する競争力が低下する恐れがあり、場合によっては当社グループの業績に影響を及ぼす可能性があります。
（対応策）
当社グループは、より堅牢なサービスの追求・新たなサービスの開発のためのマーケティング活動を強化すると共に、世界の先端技術及びサービスの発信地である米国シリコンバレーに拠点を置く等最新技術及びサービスに関する情報の入手や、それらを有するスタートアップへの出資活動等により技術革新への対応を行ってまいります。",376,"要約: 技術革新に対応できない場合、競争力の低下や業績への悪影響が懸念されるリスクについて述べている。

大分類: 1. 戦略リスク  
リスク名: 技術変化リスク",技術革新に対応できない場合、競争力の低下や業績への悪影響が懸念されるリスクについて述べている。,1. 戦略リスク,技術変化リスク,情報・通信業
